DESTINATIONID,Place Name,Tourist Location,Budget,Duration (IN DAYS),Best Time to Visit,Popularity,Review,Type
1,"Agra","Taj Mahal",1000,3,Year-round,High,"Impressive architecture, loved the visit.",Historical
2,"Agra","Agra Fort",1200,4,Year-round,High,"Historical marvel, enjoyed exploring.",Historical
3,"Agra","Fatehpur Sikri",1300,5,Winter,Medium,"Fascinating historical site, great visit.",Historical
4,"Agra","Akbar Tomb Sikandra",1100,3,Year-round,High,"Beautiful tomb, peaceful atmosphere.",Historical
5,"Agra","Mariam tomb Sikandra",1000,3,Year-round,Medium,"Serene and well-maintained tomb.",Historical
6,"Agra","Itimad-ud-Daulah-Tomb",900,2,Year-round,Medium,"Hidden gem, enjoyed the architecture.",Historical
7,"Agra","Ram Bagh",800,2,Year-round,Low,"Quiet garden, good for a stroll.",Nature
8,"Agra","Mehtab Bagh",900,2,Year-round,Medium,"Scenic views of the Taj Mahal.",Nature
9,"Agra","Mausoleum",950,3,Year-round,Medium,"Rich history, worth a visit.",Historical
10,"Lucknow","Site of Sahet mahet",1200,4,Winter,Medium,"Cultural heritage, enjoyed exploring.",Historical
11,"Lucknow","Residency Building",1100,3,Winter,Low,"Historical site, informative visit.",Historical
12,"Lucknow","Piprahwa & Ganwaria",1400,5,Spring,High,"Serene surroundings, peaceful experience.",Nature
13,"Jhansi","Gupta Temple & Varah Temple",1000,3,Year-round,Medium,"Architectural beauty, peaceful ambiance.",Historical
14,"Jhansi","Kalinjar Fort",1300,5,Winter,High,"Historical fort, stunning views.",Historical
15,"Jhansi","Rani Lakshmi Bai Mahal",1100,4,Winter,Medium,"Tribute to a brave queen.",Historical
16,"Jhansi","Rani Jhansi Fort",1200,4,Winter,Medium,"Rich history, well-preserved fort.",Historical
17,"Sarnath","Lord Cornwallis Tomb",900,2,Year-round,Low,"Peaceful atmosphere, enjoyed the visit.",Historical
18,"Sarnath","Old Fort (Shahi Fort), Jaunpur",1000,3,Year-round,Medium,"Historical significance, informative visit.",Historical
19,"Sarnath","Observatory of Man Singh",1100,3,Year-round,High,"Astronomical marvel, interesting visit.",Historical
20,"Sarnath","Excavated Remains at Sarnath",950,2,Year-round,Medium,"Archaeological site, well-preserved.",Historical
21,"Sarnath","Tomb of Lal Khan",850,2,Year-round,Low,"Simple tomb, historical significance.",Historical
22,"Goa","Baga Beach",800,7,Winter,High,"Fantastic beach vibes, wonderful time.",Beach
23,"Goa","Anjuna Beach",900,6,Winter,High,"Lively atmosphere, enjoyed the beach party.",Beach
24,"Goa","Dudhsagar Waterfalls",1200,5,Monsoon,Medium,"Spectacular waterfall, thrilling experience.",Nature
25,"Kasargod","Bekal Fort",1100,4,Winter,High,"Scenic beauty, enjoyed the historic fort.",Historical
26,"Kochi","Mattancherry Palace Museum Kochi",1200,3,Year-round,Medium,"Cultural insights, well-maintained museum.",Historical
27,"Palakkad","Fort, Palakkad, Palakkad",1000,3,Year-round,Medium,"Historical charm, pleasant visit.",Historical
28,"Kannur","Fort St. Angelo, Kannur",1300,5,Winter,High,"Picturesque fort, breathtaking views.",Historical
29,"Chennai","Group of Monuments Mamallapuram",900,2,Year-round,High,"Incredible sculptures, learned a lot.",Historical
30,"Chennai","Gingee Fort, Gingee",1000,3,Winter,Medium,"Impressive fort, enjoyed the trek.",Historical
31,"Chennai","Saluvankuppam",950,3,Year-round,Medium,"Unique architecture, informative visit.",Historical
32,"Tiruchirappalli","Fort on Rock, Dindigul",1100,4,Year-round,High,"Stunning views from the fort.",Historical
33,"Tiruchirappalli","Moovarkoil, Kodumbalur",1200,4,Winter,Medium,"Rich cultural heritage, peaceful surroundings.",Historical
